"Data","Último","Abertura","Máxima","Mínima","Vol."
"20.02.2026","25,00","24,88","25,48","24,86","30,94K"
"19.02.2026","25,00","24,78","25,30","24,62","23,22K"
"18.02.2026","24,74","24,79","25,00","24,30","26,93K"
"13.02.2026","24,79","24,99","25,35","24,71","31,12K"
"12.02.2026","24,75","24,49","24,75","24,30","34,04K"
"11.02.2026","24,49","24,49","24,70","24,20","20,21K"
"10.02.2026","24,49","24,51","24,71","24,15","28,86K"
